34200.905185561,6,-1,26493,3344000,-1,null
34200.905185561,1,9505404,100,3343100,1,null
34200.905185561,1,4503492,24,3340100,1,null
34200.907464598,4,9505404,3,3343100,1,null
34200.907497125,4,9505404,97,3343100,1,null
34200.907527112,1,10667936,100,3347000,-1,null
34200.907540636,1,10667948,50,3345600,-1,null
34200.907542758,1,10667952,100,3347000,-1,null
34200.910266252,1,10669392,4,3340100,1,null
34200.921602474,3,10667952,100,3347000,-1,null
34200.93753806,3,10667948,50,3345600,-1,null
34200.960688485,3,10667936,100,3347000,-1,null
34201.025205087,1,10697308,100,3347000,-1,null
34201.067505254,4,4503492,5,3340100,1,null
34201.067572164,4,4503492,8,3340100,1,null
34201.067649996,4,4503492,2,3340100,1,null
34201.067710765,4,4503492,9,3340100,1,null
34201.067710765,4,10669392,4,3340100,1,null
34201.067721915,1,10702332,15,3344000,-1,null
34201.06775464,1,10702348,100,3345600,-1,null
34201.067755624,1,10702352,50,3343600,-1,null
34201.068440516,4,4088936,1,3340000,1,null
34201.068440516,4,4505160,1,3340000,1,null
34201.068440516,4,4639620,998,3340000,1,null
34201.068475318,4,4639620,2,3340000,1,null
34201.068475318,4,6116284,5,3340000,1,null
34201.068475318,4,6677380,10,3340000,1,null
34201.068475318,4,7560456,2,3340000,1,null
34201.068475318,4,7669348,2,3340000,1,null
34201.068475318,4,8286884,19,3340000,1,null
34201.068475318,4,8674832,10,3340000,1,null
34201.068475318,4,8762836,22,3340000,1,null
34201.068475318,4,8923152,1,3340000,1,null
34201.068475318,4,8953836,1,3340000,1,null
34201.068475318,4,9139500,75,3340000,1,null
34201.068475318,4,9376484,4,3340000,1,null
34201.068475318,4,9659640,10,3340000,1,null
34201.068512386,1,10702428,100,3340100,1,null
34201.068532428,1,10702436,100,3342800,-1,null
34201.068545801,3,10702352,50,3343600,-1,null
34201.068561731,4,10702428,100,3340100,1,null
34201.068605006,1,10702452,50,3341500,-1,null
34201.069246588,4,9531736,6,3339000,1,null
34201.071700689,4,9531736,4,3339000,1,null
34201.071700689,4,10410428,11,3339000,1,null
34201.077851751,1,10703488,500,3340000,-1,null
34201.082124601,4,10410428,39,3339000,1,null
34201.092538871,4,9633544,10,3338900,1,null
34201.094646287,4,6499740,1,3338100,1,null
34201.09683352,5,0,1,3338000,1,null
34201.09683352,5,0,40,3337700,1,null
34201.09683352,5,0,59,3337600,1,null
34201.09688948,5,0,41,3337600,1,null
34201.09688948,5,0,50,3336600,1,null
34201.098601248,3,10702452,50,3341500,-1,null
34201.098875283,3,10705812,15,3341800,-1,null
34201.099410759,3,10705836,100,3344900,-1,null
34201.309138245,1,10732072,38,3337600,1,null
34201.334499561,1,10734120,100,3343600,-1,null
34201.454322235,4,10732072,10,3337600,1,null
34201.469318947,4,10732072,28,3337600,1,null
34201.469318947,5,0,50,3335000,1,null
34201.469318947,5,0,10,3335000,1,null
34201.469318947,5,0,12,3335000,1,null
34201.469369889,1,10747916,50,3338800,-1,null
34201.477817733,3,10703488,500,3340000,-1,null
34201.484168757,1,10749212,300,3340000,-1,null
34201.499368881,3,10747916,50,3338800,-1,null
34201.527822509,1,10753116,10,3333100,1,null
34201.528253471,1,10753156,1,3340500,-1,null
34201.566713574,5,0,3,3335000,1,null
34201.568593484,5,0,3,3335000,1,null
34201.569728288,5,0,4,3335000,1,null
34201.571458452,5,0,12,3335000,1,null
34201.572605289,5,0,6,3335000,1,null
34201.572605289,5,0,25,3334300,1,null
34201.572605289,5,0,3,3334000,1,null
34201.747852396,1,10788804,100,3333500,1,null
34201.821313518,1,10803068,50,3339500,-1,null
34201.829286787,5,0,7,3334000,1,null
34201.829286787,4,9112380,83,3334000,1,null
34201.861636478,1,10810284,100,3333500,1,null
34201.913350854,1,10820416,100,3333900,1,null
