34200.008592886,1,10752272,521,2583300,1,null
34200.414060206,1,10880900,20,2585000,-1,null
34200.485864542,4,7843532,1,2585000,-1,null
34200.485932599,4,7843532,23,2585000,-1,null
34200.485932599,4,10880900,20,2585000,-1,null
34200.625283954,4,10752272,140,2583300,1,null
34200.625283954,6,-1,43284,2583300,-1,null
34200.625283954,1,4551572,5,2583700,-1,null
34200.625283954,1,8472240,25,2584000,-1,null
34200.625432746,4,4551572,5,2583700,-1,null
34200.625435309,4,10752272,300,2583300,1,null
34200.62549035,1,10935304,50,2583500,1,null
34200.625878243,4,10935304,50,2583500,1,null
34200.625878243,4,10752272,81,2583300,1,null
34200.625878243,1,10935396,169,2583300,-1,null
34200.625945167,1,10935416,50,2583300,-1,null
34200.6262393,1,10935452,33,2580500,1,null
34200.626249222,1,10935460,10,2580500,1,null
34200.648305435,4,9929100,6,2580500,1,null
34200.648315392,5,0,200,2583200,1,null
34200.648321225,4,10935396,169,2583300,-1,null
34200.648321225,4,10935416,50,2583300,-1,null
34200.648321225,1,10940820,81,2583300,1,null
34200.64840011,3,10935460,10,2580500,1,null
34200.64840011,1,10940836,10,2583300,1,null
34200.648402715,3,10935452,33,2580500,1,null
34200.648402715,1,10940840,33,2583300,1,null
34200.648457465,4,10940820,81,2583300,1,null
34200.648457465,4,10940836,10,2583300,1,null
34200.648457465,4,10940840,9,2583300,1,null
34200.650382372,4,10940840,3,2583300,1,null
34200.889323508,4,10940840,21,2583300,1,null
34200.889323508,1,11005756,155,2583000,-1,null
34200.889383644,1,11005764,50,2583700,-1,null
34200.919372465,3,11005764,50,2583700,-1,null
34200.9197479,1,11012352,100,2583000,-1,null
34201.136365163,4,9929100,10,2580500,1,null
34201.146660102,1,11055104,100,2582900,-1,null
34201.193296226,3,11055104,100,2582900,-1,null
34201.511080709,1,11118864,5,2582000,1,null
34201.51169214,4,11118864,5,2582000,1,null
34201.511749813,1,11118920,50,2582500,-1,null
34201.54173821,3,11118920,50,2582500,-1,null
34201.584253087,4,11005756,155,2583000,-1,null
34201.584253087,4,11012352,45,2583000,-1,null
34201.584261116,1,11128532,23,2580000,1,UBSS
34201.642646232,1,11135116,1,2580000,1,null
34202.287727886,4,11012352,48,2583000,-1,null
34202.345164099,1,11269700,19,2583500,-1,null
34203.313380823,4,11012352,7,2583000,-1,null
34203.313380823,1,11332492,8,2583300,1,null
34203.313425668,4,11332492,8,2583300,1,null
34203.313427253,1,11332512,50,2581700,1,null
34203.313456256,3,11332512,50,2581700,1,null
34203.313463132,4,11269700,19,2583500,-1,null
34203.316803824,4,8472240,25,2584000,-1,null
34203.316844373,1,11332708,50,2582200,1,null
34203.31838426,3,11332652,100,2584900,-1,null
34203.346838395,3,11332708,50,2582200,1,null
34203.668037511,1,11349916,100,2584900,-1,null
34203.699470171,3,11349916,100,2584900,-1,null
34203.734635932,5,0,7,2580600,1,null
34203.91463086,5,0,5,2580600,1,null
34203.956688928,4,11118820,13,2584400,-1,null
34203.956688928,4,3502636,4,2585000,-1,null
34203.956688928,4,4725012,14,2585000,-1,UBSS
34203.956734638,1,11361416,50,2582400,1,null
34203.957006973,1,11361452,28,2582500,1,null
34203.958134269,3,11361452,28,2582500,1,null
34203.958161808,3,11361416,50,2582400,1,null
34204.191929805,1,11370164,46,2583300,1,null
34204.345628572,1,11375900,100,2584900,-1,null
34204.37899903,3,11375900,100,2584900,-1,null
34204.514571035,1,11381764,100,2585000,-1,null
34204.523650524,1,11382168,18,2583300,1,null
34205.067862048,1,11405292,100,2584900,-1,null
34205.067926683,4,11370164,46,2583300,1,null
34205.067926683,4,11382168,18,2583300,1,null
34205.067967444,1,11405328,50,2584100,-1,null
34205.068072396,3,11405292,100,2584900,-1,null
34205.068072396,1,11405348,100,2584500,-1,null
34205.074583961,1,11405588,100,2584000,-1,null
34205.097964385,3,11405328,50,2584100,-1,null
34205.218087223,3,11405348,100,2584500,-1,null
34205.838194264,1,11457504,100,2584000,-1,null
34205.838224703,1,11457508,100,2584000,-1,null
34205.838299461,3,11457508,100,2584000,-1,null
34205.838299461,1,11457516,100,2583900,-1,null
34205.861872068,3,11457516,100,2583900,-1,null
34205.861872068,1,11458848,100,2584000,-1,null
34206.912025164,5,0,100,2583400,1,null
34206.912025164,4,11405588,100,2584000,-1,null
34206.912025164,4,11457504,100,2584000,-1,null
34206.912064427,4,11458848,100,2584000,-1,null
34206.912106177,1,11512940,50,2582200,1,null
34206.9121109,1,11512944,100,2581200,1,null
34206.912581368,1,11513020,20,2584000,-1,null
34206.912610363,3,11512940,50,2582200,1,null
34206.912615686,4,11513020,20,2584000,-1,null
34206.912674456,1,11513044,100,2585000,-1,null
34206.913265122,3,11512944,100,2581200,1,null
34206.915423914,1,11513212,100,2583900,-1,null
34206.915510108,3,11513044,100,2585000,-1,null
34206.915510108,1,11513232,100,2583900,-1,null
34206.915638357,3,11513212,100,2583900,-1,null
34206.921639267,1,11513508,100,2583800,-1,null
34206.921675631,3,11513232,100,2583900,-1,null
34206.921675631,1,11513512,100,2583800,-1,null
34207.042569861,5,0,50,2583400,1,null
34207.64230975,5,0,48,2580600,1,null
34207.642902162,3,11513508,100,2583800,-1,null
34207.667570528,5,0,2,2580600,1,null
34207.667570528,5,0,48,2580600,1,null
34207.667570528,4,9929100,54,2580500,1,null
34207.667610778,3,11513512,100,2583800,-1,null
34207.667610778,1,11551484,100,2580500,-1,null
34207.667618056,1,11551488,50,2582200,-1,null
34207.667664318,4,11551484,100,2580500,-1,null
34207.667695366,3,11551488,50,2582200,-1,null
34207.667697029,5,0,100,2580100,1,null
34207.667697029,4,3334416,4,2580000,1,null
34207.667697029,4,4667500,415,2580000,1,null
34207.667739422,5,0,100,2580300,1,null
34207.667739422,5,0,100,2580100,1,null
34207.667739422,4,4667500,252,2580000,1,null
34207.668600461,3,11128532,23,2580000,1,UBSS
34207.668919576,1,11551680,100,2580000,1,null
34207.672231145,1,11551724,100,2584900,-1,null
34209.168622181,3,11263516,100,2579500,1,null
34209.19929205,3,11155652,200,2579500,1,null
34209.327893047,5,0,19,2581000,1,null
34209.360783619,3,11134936,100,2579500,1,null
34209.36090429,1,11608796,100,2580400,1,null
34209.360938313,3,11551680,100,2580000,1,null
34209.360938313,1,11608804,100,2580400,1,null
34209.949156328,1,11625280,100,2580400,1,null
34210.089013299,1,11636696,100,2580000,1,null
34210.432056387,1,11654960,100,2580000,1,null
34213.106816768,3,11636696,100,2580000,1,null
34213.106887932,1,11734692,100,2580900,1,null
34213.106921366,3,11608804,100,2580400,1,null
34213.106921366,1,11734696,100,2580900,1,null
34213.186728404,1,11736148,100,2581900,1,null
34213.186762481,3,11734696,100,2580900,1,null
34213.186762481,1,11736156,100,2581900,1,null
34213.968746528,1,11757204,100,2581900,1,null
34214.649144781,1,11772140,27,2584400,-1,null
34214.649196439,4,11772140,27,2584400,-1,null
34214.64923542,3,11736156,100,2581900,1,null
34214.64923542,5,0,30,2584100,1,null
34214.64923542,1,11772168,70,2584400,1,null
34214.649236272,1,11772172,50,2583100,1,null
34214.649302719,4,11772168,70,2584400,1,null
34214.649332123,3,11772172,50,2583100,1,null
34214.649474558,1,11772264,15,2583400,1,null
34214.649495429,3,11772264,15,2583400,1,null
34214.649514951,1,11772288,17,2582200,1,null
34214.649573105,3,11551724,100,2584900,-1,null
34214.649657219,3,11772288,17,2582200,1,null
34214.650002183,1,11772360,17,2582400,1,null
34214.6501259,4,4725012,150,2585000,-1,UBSS
34214.650221984,4,4725012,36,2585000,-1,UBSS
34214.650221984,4,6668440,30,2585000,-1,null
34214.650221984,4,9049448,5,2585000,-1,null
34214.650221984,4,9298828,10,2585000,-1,null
34214.650221984,4,11268636,2,2585000,-1,null
34214.650265193,1,11772444,50,2583700,1,null
34214.650344328,1,11772464,100,2584700,-1,null
34214.650371736,3,11772444,50,2583700,1,null
34214.650380857,4,11772464,100,2584700,-1,null
