2194500,320,2192900,92,2194600,1,2192400,17
2194500,320,2192900,92,2194600,1,2192300,100
2194500,320,2192900,92,2194600,1,2191900,85
2194500,320,2192900,58,2194600,1,2191900,85
2194500,320,2192900,10,2194600,1,2191900,85
2194500,320,2191900,85,2194600,1,2191700,353
2194500,320,2191900,85,2194600,1,2191700,353
2194000,100,2191900,85,2194500,320,2191700,353
2194500,320,2191900,85,2194600,1,2191700,353
2194500,320,2194000,50,2194600,1,2191900,85
2194500,320,2191900,85,2194600,1,2191700,353
2194300,82,2191900,85,2194500,320,2191700,353
2194500,320,2191900,85,2194600,1,2191700,353
2194500,320,2191900,85,2194600,1,2191700,345
2194500,320,2191900,85,2194600,1,2191700,245
2194500,320,2192000,100,2194600,1,2191900,85
2194500,320,2192000,16,2194600,1,2191900,85
2194500,320,2191900,85,2194600,1,2191700,245
2194500,320,2191900,85,2194600,1,2191700,261
2194500,320,2191900,85,2194600,1,2191700,445
2194100,100,2191900,85,2194500,320,2191700,445
2194100,100,2191900,85,2194500,320,2191700,445
2194100,100,2191900,85,2194300,100,2191700,445
2194100,100,2191900,85,2194300,100,2191700,445
2194100,100,2191900,85,2194300,100,2191700,445
2194100,100,2191900,85,2194300,100,2191700,429
2194100,100,2191900,101,2194300,100,2191700,429
2194100,100,2191900,101,2194300,100,2191700,429
2194100,100,2191900,101,2194300,100,2191700,245
2194100,100,2191900,285,2194300,100,2191700,245
2194100,100,2191900,285,2194300,100,2191700,245
2194100,100,2192700,100,2194300,100,2191900,285
2194300,100,2192700,100,2194500,320,2191900,285
2194300,100,2192700,100,2194500,320,2191900,285
2194300,100,2193400,50,2194500,320,2192700,100
2194300,100,2193400,50,2194500,320,2193000,16
2194300,100,2193400,50,2194500,320,2193000,16
2194300,100,2193400,50,2194500,320,2192700,100
2194300,100,2193400,66,2194500,320,2192700,100
2194500,320,2193400,66,2194600,1,2192700,100
2194500,320,2193400,66,2194600,1,2192700,100
2194500,300,2193400,66,2194600,1,2192700,100
2194500,100,2193400,66,2194600,1,2192700,100
2194600,1,2193400,66,2194900,100,2192700,100
2194600,1,2193400,66,2194900,100,2192700,100
2194600,1,2193600,30,2194900,100,2193400,66
2194600,1,2193600,30,2194900,100,2193400,50
2194600,1,2193600,46,2194900,100,2193400,50
2194900,100,2193600,46,2196000,49,2193400,50
2196000,49,2193600,46,2196500,20,2193400,50
2196000,49,2193600,16,2196500,20,2193400,50
2196000,49,2193400,50,2196500,20,2192700,100
2196000,49,2193900,16,2196500,20,2193400,50
2196000,49,2193900,16,2196500,20,2193600,100
2196000,49,2193900,16,2196400,100,2193600,100
2196000,49,2193900,200,2196400,100,2193600,100
2196000,49,2194100,100,2196400,100,2193900,200
2196000,49,2194100,100,2196400,100,2193900,184
2196000,49,2194100,116,2196400,100,2193900,184
2196000,49,2194100,116,2196400,100,2193600,100
2196000,49,2194100,300,2196400,100,2193600,100
2196000,49,2194100,301,2196400,100,2193600,100
2196000,13,2194100,301,2196400,100,2193600,100
2196400,100,2194100,301,2196500,20,2193600,100
2196400,100,2195000,76,2196500,20,2194100,301
2196500,20,2195000,76,2197100,25,2194100,301
2197100,25,2195000,76,2197500,192,2194100,301
2197100,25,2195000,76,2197500,192,2194100,285
2197100,25,2195000,76,2197500,192,2194500,16
2197100,25,2195000,76,2197500,192,2194100,285
2197100,25,2195300,16,2197500,192,2195000,76
2197500,192,2195300,16,2198200,200,2195000,76
2197500,192,2195000,76,2198200,200,2194100,285
2197500,192,2195700,16,2198200,200,2195000,76
2197500,292,2195700,16,2198200,200,2195000,76
2197500,100,2195700,16,2198200,200,2195000,76
2198200,200,2195700,16,2198400,1,2195000,76
2198200,200,2196200,15,2198400,1,2195700,16
2198200,200,2196200,15,2198400,1,2195000,76
